Product,Week+1,Week+2,Week+3,Week+4
50% Dark Bites,12037.947,12653.092,12232.277,12211.975
70% Dark Bites,2260.022,2569.976,3023.7502,3427.0918
85% Dark Bars,15411.727,11565.679,9593.721,9075.812
99% Dark & Pure,13115.6875,13930.468,14302.617,14437.655
After Nines,8309.84,8864.882,9856.282,10476.772
Almond Choco,10106.9795,10266.448,10464.806,10555.178
Baker's Choco Chips,18498.086,14352.6875,12872.307,11960.298
Caramel Stuffed Bars,8917.283,9060.263,8975.449,8694.298
Choco Coated Almonds,11371.615,11564.279,9467.82,7913.1963
Drinking Coco,10061.236,10825.546,12211.416,13171.743
Eclairs,7602.388,8080.0054,8638.268,9058.344
Fruit & Nut Bars,12435.205,12915.65,12087.624,10640.326
Manuka Honey Choco,7476.2065,9727.47,10569.853,10735.789
Milk Bars,4787.487,6706.1997,8000.307,8794.403
Mint Chip Choco,11534.909,11725.43,11752.283,11777.19
Orange Choco,7232.183,9839.211,12168.814,13710.609
Organic Choco Syrup,4696.5864,5993.3706,12370.849,21573.139
Peanut Butter Cubes,13442.81,12642.739,12271.212,12048.894
Raspberry Choco,10459.187,8154.391,7987.4336,8423.314
Smooth Sliky Salty,7594.5986,11496.758,13718.182,14018.327
Spicy Special Slims,7142.1514,9042.269,10308.293,11098.099
White Choc,17431.467,10772.553,7893.721,8992.815
