Product,Actual Weekly Avg,Predicted Weekly Avg,Best Epoch
50% Dark Bites,11833.9,11832.4,30
70% Dark Bites,3732.9,3045.6,2
85% Dark Bars,18738.7,16239.8,5
99% Dark & Pure,13873.1,14004.8,6
After Nines,11671.6,9602.6,5
Almond Choco,13381.1,12404.0,6
Baker's Choco Chips,9660.5,7951.2,5
Caramel Stuffed Bars,10076.9,10379.5,7
Choco Coated Almonds,9875.1,9942.9,37
Drinking Coco,13271.5,13132.3,4
Eclairs,7947.8,7966.7,10
Fruit & Nut Bars,9119.6,7333.3,38
Manuka Honey Choco,7580.7,6959.7,2
Milk Bars,8764.1,7676.1,2
Mint Chip Choco,10072.5,9789.9,47
Orange Choco,8787.0,9194.4,3
Organic Choco Syrup,16828.4,15108.9,5
Peanut Butter Cubes,11978.9,11187.1,4
Raspberry Choco,7758.8,7231.3,3
Smooth Sliky Salty,14373.3,13966.0,23
Spicy Special Slims,12231.2,12142.9,98
White Choc,15950.1,14624.6,5
